Organization Name,Type,Full-Time Employees,Part-Time Employees,Volunteers,City,Region,Planned Projects,Executed Projects,Rating (out of 100),Supervising Ministry,Target Group,Main Activity Area,Founded Year,Accreditation Status,Number of Beneficiaries,Workshops Conducted,Training Sessions Conducted,Volunteer Hours Contributed,Staff Retention Rate (%),Digital Presence
Foundation Empowerment for Change,Youth,21,13,81,Taif,Southern,5,4,76,Ministry of Health,Patients,Awareness,2000,Accredited,7960,39,68,370,64,No
Foundation Prosperity Mission,Technology,8,19,295,Tabuk,Western,13,19,99,Ministry of Municipal and Rural Affairs,Job Seekers,Research,2005,Pending,9823,3,43,6147,82,Yes
Initiative Hope Initiative,Social Services,43,16,67,Makkah,Southern,6,11,86,Ministry of Municipal and Rural Affairs,Families,Research,2022,Accredited,3002,19,21,1304,86,Yes
Center Growth for Youth,Technology,20,4,209,Medina,Central,19,3,99,Ministry of Culture,Refugees,Community Engagement,2007,Pending,7613,36,72,6405,89,No
Association Care for Youth,Youth,6,12,215,Jeddah,Northern,20,15,72,Ministry of Economy and Planning,Refugees,Capacity Building,2008,Pending,3601,46,5,687,99,Yes
Foundation Development for Youth,Youth,35,6,137,Dammam,Central,6,11,85,Ministry of Human Resources and Social Development,Families,Awareness,2007,Unaccredited,4051,15,51,8462,77,No
Center Growth Initiative,Educational,22,25,158,Dammam,Northern,8,18,86,Ministry of Economy and Planning,Orphans,Relief,1997,Pending,9470,50,65,6090,76,No
Society Compassion for Youth,Educational,29,4,218,Tabuk,Eastern,19,7,95,Ministry of Communications and Information Technology,Families,Training,2020,Pending,6278,17,79,9851,97,Yes
Initiative Growth Network,Environmental,2,12,171,Jeddah,Eastern,12,19,76,Ministry of Health,Job Seekers,Research,2009,Pending,1263,1,41,7464,65,Yes
Initiative Light for Development,Educational,34,15,120,Makkah,Southern,19,9,96,Ministry of Municipal and Rural Affairs,Families,Research,2018,Accredited,9419,3,53,5880,99,Yes
Center Hope for Youth,Development,33,19,204,Najran,Western,2,0,60,Ministry of Communications and Information Technology,Orphans,Advocacy,2022,Accredited,8971,76,31,5525,93,Yes
Initiative Harmony Initiative,Social Services,28,22,164,Abha,Western,9,8,81,Ministry of Human Resources and Social Development,Patients,Advocacy,2008,Unaccredited,3632,38,15,8578,93,Yes
Foundation Compassion for Communities,Health,41,24,295,Jeddah,Central,5,15,92,Ministry of Culture,Families,Community Engagement,2019,Accredited,5256,71,48,1916,75,No
Association Development for Development,Charitable,25,3,212,Jeddah,Southern,19,20,64,Ministry of Culture,Students,Training,1995,Unaccredited,6183,48,20,4928,90,Yes
Society Harmony for Change,Environmental,14,29,204,Taif,Central,10,3,73,Ministry of Municipal and Rural Affairs,Elderly,Research,2019,Unaccredited,2729,46,18,332,80,No
Association Empowerment for Change,Development,49,13,222,Abha,Southern,15,9,65,Ministry of Health,Refugees,Training,2012,Accredited,9053,37,55,8660,85,No
Initiative Progress for Youth,Development,15,20,174,Najran,Central,19,13,93,Ministry of Economy and Planning,Students,Training,2019,Accredited,7132,76,32,453,88,No
Initiative Empowerment Group,Youth,42,1,103,Dammam,Central,12,13,62,"Ministry of Environment, Water and Agriculture",Youth,Awareness,2016,Unaccredited,3906,12,62,4368,74,Yes
Center Prosperity Group,Social Services,37,22,258,Riyadh,Northern,18,12,83,Ministry of Municipal and Rural Affairs,Students,Capacity Building,2006,Unaccredited,8957,93,42,2408,69,No
Center Compassion Mission,Educational,41,11,65,Tabuk,Central,6,20,86,Ministry of Communications and Information Technology,Patients,Advocacy,2005,Pending,4044,64,97,1128,96,No
Center Prosperity for Communities,Youth,4,4,19,Taif,Northern,9,10,91,Ministry of Culture,Families,Training,2018,Pending,1607,21,42,6819,85,Yes
Center Growth Group,Development,22,6,222,Jeddah,Eastern,8,18,61,Ministry of Economy and Planning,Disabled,Training,2009,Unaccredited,9124,37,2,3830,92,No
Association Care Network,Cultural,8,25,83,Abha,Northern,4,4,72,Ministry of Health,Job Seekers,Advocacy,1999,Unaccredited,7296,36,21,4784,89,Yes
Center Harmony Network,Environmental,13,22,178,Najran,Southern,9,1,94,Ministry of Communications and Information Technology,Elderly,Awareness,1996,Pending,3335,48,49,5764,65,Yes
Center Unity for Communities,Charitable,47,6,173,Najran,Western,18,9,80,Ministry of Education,Job Seekers,Community Engagement,1991,Accredited,6958,97,5,1917,81,No
Center Development Initiative,Educational,2,10,195,Hail,Western,5,20,100,Ministry of Economy and Planning,Youth,Awareness,2016,Pending,1160,55,30,4108,66,No
Society Growth Group,Environmental,3,29,239,Hail,Southern,13,18,60,Ministry of Economy and Planning,Families,Research,2014,Unaccredited,5976,34,67,7346,69,No
Initiative Prosperity Group,Educational,17,10,55,Taif,Southern,1,11,94,Ministry of Economy and Planning,Orphans,Community Engagement,1992,Accredited,6658,76,36,6136,96,Yes
Association Hope Group,Development,30,23,22,Hail,Northern,2,14,94,Ministry of Economy and Planning,Disabled,Awareness,2008,Accredited,6656,60,35,9939,99,Yes
Initiative Harmony Group,Cultural,42,18,283,Abha,Central,1,18,75,Ministry of Economy and Planning,Elderly,Capacity Building,2009,Accredited,2037,35,49,2852,85,No
Center Unity Initiative,Development,46,9,282,Tabuk,Central,3,1,61,Ministry of Culture,Patients,Advocacy,2013,Accredited,3829,23,40,1548,86,No
Society Growth Initiative,Charitable,3,12,240,Dammam,Central,18,9,68,Ministry of Communications and Information Technology,Elderly,Advocacy,2000,Pending,7966,26,16,7567,62,Yes
Foundation Prosperity Group,Environmental,49,4,77,Dammam,Eastern,20,17,72,Ministry of Health,Patients,Relief,2009,Pending,3450,79,46,3197,99,Yes
Initiative Hope for Development,Educational,10,24,299,Makkah,Eastern,6,13,71,Ministry of Economy and Planning,Elderly,Relief,2010,Accredited,9440,34,11,5995,65,No
Initiative Harmony Network,Charitable,29,12,214,Makkah,Southern,4,19,83,"Ministry of Environment, Water and Agriculture",Elderly,Awareness,2009,Unaccredited,170,45,72,6979,87,Yes
Foundation Unity Initiative,Technology,3,5,18,Riyadh,Central,5,17,95,Ministry of Economy and Planning,Students,Awareness,1995,Accredited,4540,45,42,1581,90,Yes
Center Prosperity Initiative,Health,28,11,28,Dammam,Northern,18,18,63,Ministry of Health,Students,Capacity Building,1995,Accredited,7637,42,63,9981,68,Yes
Foundation Unity for Youth,Cultural,15,8,233,Taif,Western,14,14,100,Ministry of Municipal and Rural Affairs,Orphans,Capacity Building,2000,Accredited,6736,50,74,9261,90,Yes
Center Light for Communities,Technology,8,25,29,Dammam,Western,19,10,65,Ministry of Human Resources and Social Development,Refugees,Capacity Building,2013,Accredited,2881,74,87,9201,60,Yes
Initiative Progress Network,Charitable,43,11,15,Najran,Eastern,7,18,80,"Ministry of Environment, Water and Agriculture",Youth,Relief,2018,Unaccredited,459,20,27,5581,88,Yes
Initiative Empowerment for Development,Charitable,37,12,256,Taif,Northern,7,16,99,"Ministry of Environment, Water and Agriculture",Families,Training,2012,Accredited,5216,72,65,7328,82,No
Center Innovation Initiative,Educational,18,1,261,Abha,Central,17,4,60,Ministry of Human Resources and Social Development,Refugees,Capacity Building,1990,Accredited,4568,94,80,9192,69,No
Center Unity for Youth,Educational,37,26,198,Medina,Northern,16,10,99,Ministry of Education,Families,Research,2014,Unaccredited,2523,47,2,5291,78,Yes
Society Prosperity for Development,Educational,24,28,200,Najran,Central,9,3,97,Ministry of Human Resources and Social Development,Disabled,Training,2007,Accredited,1980,90,28,6649,79,No
Foundation Care Network,Technology,12,2,201,Abha,Eastern,20,5,98,Ministry of Culture,Disabled,Awareness,2020,Pending,4939,41,39,4195,99,Yes
Center Empowerment Group,Development,26,6,194,Abha,Southern,2,7,68,Ministry of Human Resources and Social Development,Disabled,Advocacy,2008,Accredited,9789,29,74,6219,90,No
Foundation Unity Network,Social Services,15,22,108,Abha,Southern,5,13,79,Ministry of Culture,Families,Community Engagement,1997,Accredited,4764,42,8,2271,69,No
Foundation Development Initiative,Development,31,25,142,Abha,Northern,1,4,80,Ministry of Communications and Information Technology,Disabled,Community Engagement,2004,Pending,9512,83,1,7095,64,Yes
Center Unity Network,Youth,24,17,53,Medina,Western,18,7,85,Ministry of Health,Orphans,Awareness,2004,Pending,3863,17,31,6338,79,No
Association Innovation for Development,Health,38,1,88,Taif,Northern,14,16,75,Ministry of Health,Patients,Relief,1994,Unaccredited,6562,37,7,7571,87,No
Center Prosperity Initiative,Youth,41,19,230,Makkah,Western,13,0,80,Ministry of Municipal and Rural Affairs,Patients,Advocacy,2001,Unaccredited,7221,47,2,1625,84,Yes
Initiative Light for Communities,Technology,19,28,199,Tabuk,Central,14,9,66,Ministry of Municipal and Rural Affairs,Disabled,Training,1990,Accredited,2537,72,96,2679,72,No
Initiative Development for Change,Environmental,11,1,257,Makkah,Northern,9,10,100,Ministry of Culture,Elderly,Advocacy,2016,Pending,5728,71,18,9199,71,No
Foundation Hope Group,Youth,40,28,101,Makkah,Western,2,20,93,Ministry of Communications and Information Technology,Job Seekers,Community Engagement,2011,Pending,1254,36,49,6547,82,Yes
Foundation Hope Initiative,Cultural,42,16,267,Riyadh,Central,13,12,72,Ministry of Culture,Orphans,Awareness,2011,Unaccredited,3125,1,63,1209,77,Yes
Foundation Harmony for Change,Development,42,8,155,Najran,Central,2,2,74,Ministry of Municipal and Rural Affairs,Refugees,Relief,2019,Unaccredited,3659,39,34,5981,74,No
Society Growth for Development,Educational,9,2,20,Hail,Central,19,6,73,Ministry of Education,Patients,Community Engagement,2001,Unaccredited,5104,94,42,2517,61,No
Center Unity Group,Health,44,7,17,Jeddah,Eastern,8,0,91,Ministry of Health,Patients,Awareness,2016,Unaccredited,7910,53,53,3722,77,Yes
Initiative Compassion Group,Social Services,13,26,167,Tabuk,Central,12,8,69,Ministry of Health,Patients,Community Engagement,2016,Unaccredited,9442,73,25,7020,82,No
Society Hope Initiative,Health,7,24,286,Dammam,Central,7,8,92,Ministry of Education,Elderly,Training,2010,Accredited,2680,7,68,4849,99,No
Center Progress for Development,Social Services,8,10,283,Makkah,Western,10,9,93,Ministry of Education,Refugees,Community Engagement,1990,Accredited,726,14,10,3044,97,No
Foundation Harmony Mission,Health,46,19,195,Hail,Eastern,6,4,61,Ministry of Culture,Families,Awareness,2005,Accredited,7390,19,92,9992,82,Yes
Foundation Harmony for Communities,Social Services,4,30,189,Makkah,Central,3,10,96,Ministry of Culture,Families,Awareness,2000,Unaccredited,8970,75,89,5216,89,Yes
Center Development for Change,Technology,19,10,238,Najran,Eastern,16,4,70,Ministry of Communications and Information Technology,Disabled,Research,2012,Unaccredited,9113,38,37,5368,77,No
Initiative Empowerment Mission,Technology,20,14,46,Makkah,Eastern,2,3,91,Ministry of Culture,Students,Research,2021,Pending,2418,37,3,8079,71,Yes
Association Hope Group,Development,20,3,265,Najran,Western,19,1,93,Ministry of Economy and Planning,Refugees,Community Engagement,2020,Accredited,1508,48,57,4572,83,No
Center Development Group,Charitable,11,18,156,Medina,Western,11,9,83,Ministry of Health,Disabled,Community Engagement,2006,Pending,3874,78,67,812,72,Yes
Foundation Hope for Youth,Development,28,24,195,Abha,Southern,19,2,67,Ministry of Economy and Planning,Students,Advocacy,2001,Unaccredited,9695,66,94,6794,100,No
Center Hope Initiative,Environmental,9,20,50,Hail,Southern,10,2,70,Ministry of Human Resources and Social Development,Students,Training,2020,Pending,6974,90,90,2088,64,No
Foundation Empowerment Initiative,Social Services,37,19,127,Taif,Northern,13,3,81,Ministry of Education,Students,Advocacy,1999,Accredited,1308,69,23,7549,72,No
Association Light for Development,Charitable,46,22,68,Tabuk,Western,15,5,85,Ministry of Culture,Students,Community Engagement,2012,Unaccredited,9824,52,60,2234,84,No
Initiative Harmony Initiative,Health,36,28,291,Tabuk,Southern,2,1,86,Ministry of Municipal and Rural Affairs,Youth,Awareness,2005,Accredited,1097,16,48,341,82,Yes
Society Empowerment Mission,Charitable,5,25,80,Najran,Western,7,5,62,Ministry of Human Resources and Social Development,Disabled,Relief,1990,Accredited,7133,54,35,4374,93,Yes
Initiative Progress for Development,Technology,22,8,62,Taif,Northern,9,3,89,Ministry of Communications and Information Technology,Students,Training,2009,Pending,8075,6,98,8089,82,No
Initiative Innovation for Change,Social Services,6,7,203,Tabuk,Central,12,1,100,Ministry of Health,Disabled,Training,1994,Accredited,5153,68,43,9673,96,Yes
Initiative Prosperity Network,Environmental,21,21,102,Taif,Central,2,5,81,Ministry of Communications and Information Technology,Disabled,Capacity Building,1992,Unaccredited,3560,40,41,6388,62,Yes
Society Empowerment for Change,Youth,38,9,261,Abha,Northern,19,10,67,Ministry of Education,Job Seekers,Research,1990,Accredited,5956,61,28,7473,87,No
Initiative Care Group,Cultural,4,6,59,Dammam,Southern,5,11,88,Ministry of Culture,Families,Training,1991,Unaccredited,2199,29,24,5051,74,Yes
Initiative Empowerment for Communities,Cultural,18,18,48,Makkah,Central,19,0,86,Ministry of Health,Orphans,Advocacy,1998,Pending,5205,80,77,3538,74,No
Association Harmony Initiative,Technology,26,17,61,Makkah,Southern,12,17,68,Ministry of Communications and Information Technology,Job Seekers,Awareness,2022,Pending,7187,52,7,7066,60,Yes
Society Harmony for Youth,Social Services,25,7,39,Tabuk,Central,11,7,86,Ministry of Human Resources and Social Development,Students,Relief,2007,Unaccredited,5088,88,20,3639,72,No
Initiative Light Network,Environmental,50,8,277,Taif,Southern,8,11,89,Ministry of Communications and Information Technology,Youth,Advocacy,1996,Accredited,8800,3,86,2839,86,Yes
Society Harmony for Development,Educational,16,25,295,Medina,Northern,10,3,87,Ministry of Human Resources and Social Development,Orphans,Capacity Building,1993,Unaccredited,5702,13,37,9077,93,No
Association Harmony for Youth,Health,21,14,124,Dammam,Southern,7,20,96,Ministry of Economy and Planning,Job Seekers,Awareness,2000,Unaccredited,971,21,20,4068,91,Yes
Initiative Progress Network,Social Services,45,9,168,Makkah,Central,18,13,86,Ministry of Culture,Job Seekers,Relief,1991,Accredited,8864,63,28,1657,78,Yes
Society Compassion for Youth,Social Services,31,2,31,Taif,Eastern,11,11,69,"Ministry of Environment, Water and Agriculture",Patients,Relief,2022,Accredited,8766,28,25,3127,63,Yes
Society Care Network,Youth,4,19,173,Hail,Northern,2,10,93,Ministry of Human Resources and Social Development,Students,Advocacy,2021,Unaccredited,8976,74,3,7294,78,Yes
Association Hope Network,Development,21,12,94,Taif,Central,10,20,77,Ministry of Education,Refugees,Advocacy,1992,Unaccredited,6483,55,60,8486,65,Yes
Foundation Development for Communities,Cultural,38,26,52,Riyadh,Central,20,19,97,Ministry of Culture,Orphans,Awareness,2005,Pending,9930,48,16,9497,69,Yes
Society Progress Mission,Youth,15,14,132,Jeddah,Eastern,19,4,97,Ministry of Human Resources and Social Development,Refugees,Advocacy,2017,Pending,4600,58,54,527,99,No
Association Harmony for Development,Environmental,13,8,92,Makkah,Northern,12,2,62,Ministry of Economy and Planning,Patients,Capacity Building,2017,Accredited,1805,77,2,4226,78,Yes
Center Prosperity for Development,Educational,27,16,55,Abha,Southern,18,11,70,"Ministry of Environment, Water and Agriculture",Patients,Community Engagement,1994,Pending,1435,78,16,3125,97,Yes
Foundation Hope Mission,Environmental,50,7,78,Tabuk,Southern,4,3,98,Ministry of Education,Youth,Awareness,1997,Accredited,7734,79,5,8034,82,Yes
Initiative Hope Network,Health,39,25,168,Dammam,Southern,7,10,100,Ministry of Health,Elderly,Awareness,2022,Pending,9140,48,98,8857,97,Yes
Foundation Unity for Communities,Youth,42,23,189,Makkah,Northern,14,14,72,"Ministry of Environment, Water and Agriculture",Refugees,Relief,1999,Accredited,1784,40,73,7536,91,Yes
Center Harmony Group,Environmental,37,7,112,Dammam,Northern,11,9,85,Ministry of Municipal and Rural Affairs,Orphans,Research,2017,Pending,3433,54,56,1611,83,Yes
Association Prosperity Group,Youth,34,16,299,Najran,Southern,8,10,78,Ministry of Economy and Planning,Families,Relief,2010,Pending,9848,58,7,7589,93,No
Foundation Growth for Change,Educational,50,23,298,Jeddah,Northern,4,11,65,Ministry of Education,Refugees,Research,2021,Unaccredited,5964,85,36,7753,76,No
Association Light for Change,Charitable,29,24,94,Jeddah,Southern,8,17,73,Ministry of Culture,Disabled,Relief,2002,Pending,2162,86,92,2769,75,No
Foundation Development Group,Development,13,24,199,Taif,Northern,11,19,67,Ministry of Education,Students,Training,2001,Pending,8661,76,2,7421,89,No
Association Compassion for Change,Technology,39,30,203,Medina,Central,19,10,67,Ministry of Economy and Planning,Patients,Advocacy,2013,Accredited,7702,94,99,3229,74,No
Association Harmony for Communities,Charitable,39,24,220,Dammam,Southern,20,4,78,Ministry of Communications and Information Technology,Families,Relief,2021,Accredited,9418,83,44,4450,64,Yes
Society Compassion for Communities,Youth,16,25,53,Riyadh,Central,14,9,67,Ministry of Communications and Information Technology,Elderly,Relief,2021,Accredited,1142,81,26,6825,79,Yes
Association Harmony Network,Youth,19,28,194,Tabuk,Southern,19,10,86,"Ministry of Environment, Water and Agriculture",Patients,Relief,2018,Unaccredited,4597,68,45,2512,77,No
Center Hope for Youth,Technology,8,20,68,Hail,Central,18,10,84,Ministry of Health,Refugees,Research,2022,Accredited,7259,76,53,7736,91,Yes
Foundation Progress for Development,Development,37,25,82,Medina,Eastern,15,18,86,Ministry of Culture,Job Seekers,Awareness,1999,Accredited,1096,80,92,3708,96,Yes
Initiative Empowerment Mission,Educational,14,23,275,Hail,Western,20,6,83,Ministry of Communications and Information Technology,Youth,Community Engagement,2002,Accredited,1424,55,50,4874,83,No
Association Development Initiative,Social Services,9,26,19,Tabuk,Central,2,5,63,Ministry of Communications and Information Technology,Families,Training,2017,Unaccredited,9935,81,78,2944,63,No
Foundation Empowerment Network,Cultural,49,6,177,Medina,Central,13,20,93,"Ministry of Environment, Water and Agriculture",Elderly,Awareness,2018,Pending,6539,77,51,1535,77,Yes
Center Prosperity for Change,Technology,36,10,66,Abha,Southern,13,1,69,Ministry of Communications and Information Technology,Job Seekers,Awareness,1993,Pending,6229,43,61,835,62,No
Initiative Growth for Communities,Educational,50,7,234,Taif,Northern,8,3,92,"Ministry of Environment, Water and Agriculture",Families,Relief,2007,Accredited,2087,8,78,1134,65,Yes
Initiative Harmony for Change,Charitable,24,13,126,Tabuk,Central,10,12,72,Ministry of Communications and Information Technology,Youth,Capacity Building,2007,Pending,5694,71,86,7243,77,No
Center Progress for Youth,Cultural,27,21,248,Tabuk,Western,9,20,77,"Ministry of Environment, Water and Agriculture",Elderly,Community Engagement,2008,Unaccredited,6541,61,95,807,86,No
Center Light Group,Health,15,4,50,Dammam,Central,15,20,81,Ministry of Health,Job Seekers,Community Engagement,1996,Accredited,1862,53,34,7927,100,Yes
Initiative Light for Communities,Environmental,10,12,184,Riyadh,Western,10,9,65,Ministry of Human Resources and Social Development,Youth,Awareness,2001,Unaccredited,7733,51,58,7178,87,Yes
Initiative Care Network,Youth,17,4,93,Dammam,Northern,15,14,75,Ministry of Economy and Planning,Disabled,Advocacy,2014,Accredited,5858,77,63,7267,70,Yes
Association Growth Group,Development,7,25,188,Jeddah,Eastern,8,14,94,"Ministry of Environment, Water and Agriculture",Patients,Awareness,2011,Unaccredited,4215,16,29,3231,84,Yes
Initiative Hope Mission,Social Services,10,3,13,Tabuk,Eastern,12,9,72,Ministry of Human Resources and Social Development,Job Seekers,Community Engagement,1991,Pending,6150,50,72,9255,79,Yes
Foundation Compassion for Youth,Educational,39,23,231,Medina,Northern,10,3,74,Ministry of Economy and Planning,Patients,Awareness,2017,Pending,9403,17,57,7607,63,Yes
Initiative Prosperity Initiative,Charitable,13,20,165,Hail,Western,13,19,92,Ministry of Economy and Planning,Elderly,Research,1992,Accredited,8685,47,61,8960,95,Yes
Initiative Compassion Initiative,Development,43,21,84,Jeddah,Northern,3,5,64,Ministry of Education,Refugees,Capacity Building,2004,Accredited,518,48,30,6096,95,Yes
Initiative Growth Network,Educational,19,23,202,Najran,Central,5,5,71,Ministry of Education,Elderly,Advocacy,2006,Unaccredited,7346,94,6,603,92,No
Association Compassion Group,Youth,44,12,270,Najran,Western,10,5,71,Ministry of Culture,Patients,Capacity Building,2008,Unaccredited,7283,21,29,2487,71,No
Society Light Network,Youth,4,18,36,Tabuk,Central,20,15,81,Ministry of Municipal and Rural Affairs,Disabled,Training,2001,Accredited,7802,12,17,6952,75,No
Center Hope Network,Educational,4,23,221,Taif,Southern,5,14,85,Ministry of Education,Elderly,Community Engagement,2009,Accredited,5167,81,60,6260,83,No
Society Hope Initiative,Development,28,9,233,Najran,Central,17,18,87,Ministry of Culture,Orphans,Research,2012,Unaccredited,3292,79,51,7493,66,No
Society Compassion for Development,Technology,31,28,235,Makkah,Northern,4,7,84,"Ministry of Environment, Water and Agriculture",Youth,Advocacy,2011,Pending,1851,92,13,2276,62,No
Society Prosperity for Change,Health,44,28,218,Jeddah,Northern,18,14,69,Ministry of Municipal and Rural Affairs,Patients,Capacity Building,2017,Accredited,5123,3,89,155,79,Yes
Association Development Network,Health,21,21,239,Hail,Southern,9,7,65,Ministry of Economy and Planning,Families,Awareness,1997,Pending,967,51,95,5375,82,No
Center Progress Group,Technology,36,22,71,Tabuk,Northern,10,4,71,Ministry of Health,Elderly,Capacity Building,2016,Unaccredited,5561,50,62,4712,87,No
Foundation Unity Mission,Environmental,39,7,178,Abha,Western,4,8,74,Ministry of Culture,Families,Training,2009,Pending,1397,69,9,7383,60,Yes
Association Care for Development,Cultural,16,17,252,Medina,Central,16,3,84,"Ministry of Environment, Water and Agriculture",Elderly,Community Engagement,2022,Pending,447,88,7,651,85,No
Foundation Compassion for Development,Youth,22,6,207,Jeddah,Southern,13,17,75,Ministry of Health,Job Seekers,Community Engagement,1990,Pending,6480,98,37,845,100,No
Foundation Prosperity for Communities,Environmental,25,8,250,Tabuk,Northern,16,19,74,Ministry of Communications and Information Technology,Elderly,Advocacy,2009,Unaccredited,8519,38,81,678,99,Yes
Foundation Compassion for Youth,Technology,33,11,42,Makkah,Central,20,3,88,Ministry of Economy and Planning,Disabled,Advocacy,1999,Pending,9809,67,91,6502,98,Yes
Center Innovation Network,Health,24,8,166,Riyadh,Southern,3,18,77,Ministry of Communications and Information Technology,Families,Relief,2018,Accredited,937,52,25,4949,87,No
Association Care for Youth,Social Services,36,8,146,Riyadh,Western,8,3,71,Ministry of Education,Disabled,Training,2016,Accredited,3798,66,84,5812,72,Yes
Center Harmony Mission,Youth,31,15,29,Tabuk,Southern,5,12,74,Ministry of Human Resources and Social Development,Elderly,Community Engagement,2014,Unaccredited,1926,41,25,7770,61,Yes
Foundation Progress Group,Health,30,28,115,Medina,Central,11,12,68,"Ministry of Environment, Water and Agriculture",Orphans,Research,1997,Accredited,8818,4,13,7215,85,Yes
Society Light Initiative,Educational,28,15,136,Hail,Northern,17,9,65,Ministry of Culture,Job Seekers,Community Engagement,2004,Accredited,9815,42,80,1262,75,No
Society Harmony Group,Health,32,19,56,Najran,Eastern,12,3,74,Ministry of Human Resources and Social Development,Families,Community Engagement,2012,Pending,7078,67,43,5913,78,Yes
Center Innovation Group,Technology,34,3,74,Medina,Southern,17,1,69,Ministry of Culture,Disabled,Relief,2020,Unaccredited,3792,73,19,902,82,No
Initiative Harmony for Communities,Environmental,25,28,288,Medina,Central,10,3,88,Ministry of Communications and Information Technology,Youth,Research,2021,Pending,5043,98,85,7456,100,No
Center Empowerment for Communities,Cultural,39,22,181,Hail,Southern,3,8,61,Ministry of Culture,Students,Awareness,2003,Accredited,7385,35,1,7790,89,No
Initiative Progress for Change,Social Services,28,25,38,Jeddah,Central,12,1,74,Ministry of Economy and Planning,Job Seekers,Community Engagement,2020,Accredited,2479,78,85,8917,68,No
Foundation Progress Mission,Technology,19,16,29,Dammam,Western,15,10,76,Ministry of Economy and Planning,Refugees,Awareness,2002,Accredited,8884,2,94,7972,96,No
Foundation Prosperity Group,Health,44,29,277,Taif,Eastern,8,3,60,Ministry of Human Resources and Social Development,Families,Awareness,2020,Unaccredited,925,22,13,8882,60,No
Initiative Hope for Change,Social Services,6,10,84,Riyadh,Northern,11,17,92,Ministry of Education,Orphans,Capacity Building,1997,Accredited,3447,8,38,5351,76,No
Association Light Group,Charitable,16,6,109,Riyadh,Western,2,5,71,Ministry of Human Resources and Social Development,Refugees,Research,2019,Pending,2227,57,61,1692,82,No
Initiative Progress for Change,Youth,8,1,168,Najran,Western,9,19,94,Ministry of Human Resources and Social Development,Orphans,Capacity Building,2011,Pending,5655,33,18,7681,77,No
Foundation Light Mission,Charitable,32,14,147,Najran,Northern,10,3,85,Ministry of Health,Orphans,Training,1992,Unaccredited,1496,59,15,4491,99,No
Initiative Care Network,Technology,27,6,131,Riyadh,Central,3,4,74,Ministry of Economy and Planning,Disabled,Relief,2017,Accredited,1780,14,94,6730,62,Yes
Foundation Growth Network,Cultural,42,10,289,Riyadh,Central,8,9,91,"Ministry of Environment, Water and Agriculture",Job Seekers,Awareness,1999,Accredited,5404,27,31,3848,90,Yes
Center Progress for Youth,Social Services,39,27,257,Dammam,Western,5,20,75,Ministry of Human Resources and Social Development,Students,Relief,2019,Pending,506,92,85,1484,88,No
Center Development Initiative,Youth,8,7,203,Hail,Southern,17,9,91,"Ministry of Environment, Water and Agriculture",Refugees,Relief,2012,Unaccredited,5771,47,67,8541,80,No
Association Empowerment for Youth,Technology,40,20,225,Taif,Eastern,16,11,93,Ministry of Economy and Planning,Patients,Advocacy,2011,Accredited,6517,83,81,1012,63,Yes
Association Growth Mission,Environmental,17,4,131,Najran,Central,10,15,93,Ministry of Health,Elderly,Advocacy,2020,Accredited,5974,20,12,3667,93,Yes
Center Harmony for Change,Social Services,2,19,218,Najran,Southern,5,18,66,Ministry of Human Resources and Social Development,Students,Training,1997,Accredited,7692,47,35,6129,60,Yes
Foundation Light Network,Cultural,4,26,24,Jeddah,Central,11,19,97,Ministry of Municipal and Rural Affairs,Orphans,Training,1998,Pending,6090,6,41,4281,76,No
Initiative Hope for Development,Environmental,35,26,15,Tabuk,Northern,12,6,76,Ministry of Communications and Information Technology,Families,Research,2010,Pending,9439,12,74,122,64,Yes
Foundation Innovation for Youth,Educational,30,24,93,Jeddah,Northern,16,15,66,Ministry of Culture,Families,Community Engagement,2012,Accredited,949,41,21,4738,62,No
Association Progress for Development,Educational,36,15,50,Tabuk,Northern,16,0,60,Ministry of Communications and Information Technology,Youth,Advocacy,2019,Accredited,4472,85,94,5218,100,Yes
Center Prosperity for Change,Cultural,48,3,116,Tabuk,Eastern,4,7,63,Ministry of Culture,Disabled,Awareness,2021,Unaccredited,3345,46,97,7752,84,No
Center Growth Network,Educational,50,8,106,Tabuk,Southern,6,7,78,Ministry of Economy and Planning,Disabled,Community Engagement,2016,Unaccredited,4132,40,88,1849,65,Yes
Initiative Empowerment for Change,Charitable,5,2,229,Taif,Eastern,5,2,81,Ministry of Human Resources and Social Development,Orphans,Capacity Building,2002,Pending,614,72,32,2754,98,No
Foundation Progress for Youth,Cultural,24,28,93,Medina,Eastern,19,1,67,Ministry of Human Resources and Social Development,Students,Advocacy,2009,Unaccredited,5371,50,2,6718,67,No
Initiative Progress Network,Health,32,18,123,Taif,Southern,18,14,62,Ministry of Economy and Planning,Students,Capacity Building,2007,Unaccredited,8068,83,7,2836,96,No
Society Light for Youth,Development,4,24,248,Dammam,Northern,17,19,90,Ministry of Health,Orphans,Community Engagement,1993,Accredited,8600,46,50,216,79,No
Center Development Group,Environmental,8,10,229,Najran,Western,15,15,87,Ministry of Municipal and Rural Affairs,Families,Advocacy,2016,Pending,9847,48,87,1756,100,Yes
Society Compassion Mission,Health,26,12,106,Medina,Eastern,17,11,82,Ministry of Culture,Disabled,Capacity Building,1990,Accredited,7153,19,14,3690,67,Yes
Association Compassion for Youth,Charitable,20,12,183,Najran,Eastern,11,6,93,Ministry of Education,Refugees,Community Engagement,2002,Pending,5868,59,12,9703,78,Yes
